mode,rows,batch,wall_s,ops_per_s,p50_us,p90_us,p99_us,p999_us,max_us,reads,writes,fsyncs,jrnl_records,io_ms,wait_ms,io_frac,wait_frac,syncs_per_op,reads_per_op,crc_mb,space_amp,file_bytes,visited,timer_ns
insert_auto,2000,100,39.577,50.5,19734.00,21928.00,25981.00,29145.00,30921.00,12007,2232,10047,4046,37267.276,36124.199,0.942,0.913,5.0235,6.0035,47.8001,2.56,204800,0.00,422
insert_batched,10000,100,0.081,123571.2,5.00,8.00,21.00,55.00,5021.00,20065,9438,7,3,56.838,33.628,0.702,0.416,0.0007,2.0065,115.1297,1.53,610304,0.00,453
insert_batched,100000,100,0.494,202488.6,4.00,5.00,15.00,47.00,4151.00,280768,94792,7,3,273.810,127.853,0.554,0.259,0.0001,2.8077,1465.5947,1.57,6283264,0.00,225
insert_seq,100000,100,0.506,197637.8,4.00,5.00,16.00,45.00,3867.00,287976,109556,7,3,271.434,133.362,0.536,0.264,0.0001,2.8798,1551.3390,2.45,9814016,0.00,225
lookup,50000,100,0.291,171847.3,5.00,7.00,14.00,54.00,140.00,250000,0,1,0,136.962,69.487,0.471,0.239,0.0000,5.0000,780.4871,3.14,6283264,15999.00,187
scan,1,100,0.002,441.5,2265.00,2265.00,2265.00,2265.00,2265.00,1527,0,1,0,4.784,4.050,2.112,1.788,1.0000,1527.0000,5.9551,157081.60,6283264,88679.00,176
scan_range,2000,100,0.012,162337.7,6.00,7.00,14.00,45.00,63.00,10815,0,1,0,9.083,6.372,0.737,0.517,0.0005,5.4075,34.4000,78.54,6283264,44442.00,173
delete,50000,100,1.038,48172.5,4.00,7.00,17.00,4067.00,5127.00,150198,9053,200,196,926.028,825.134,0.892,0.795,0.0040,3.0040,621.4628,3.14,6283264,9053.00,215
scan,1,100,0.002,404.9,2469.00,2469.00,2469.00,2469.00,2469.00,1527,0,1,0,5.174,4.305,2.095,1.743,1.0000,1527.0000,5.9551,157081.60,6283264,79626.00,185
lookup,20000,100,0.095,210293.9,5.00,5.00,7.00,31.00,99.00,80000,0,1,0,43.324,22.185,0.456,0.233,0.0001,4.0000,234.1461,0.09,73728,1019.00,235
lookup,20000,100,0.089,224777.2,4.00,5.00,7.00,31.00,84.00,80000,0,1,0,40.479,21.452,0.455,0.241,0.0001,4.0000,234.1461,0.76,610304,8337.00,184
lookup,20000,100,0.110,181179.1,5.00,6.00,8.00,42.00,123.00,100000,0,1,0,54.585,31.310,0.494,0.284,0.0001,5.0000,312.1948,7.85,6283264,5200.00,173
